City;IATA
Tallinn;TLL
Salzburg;SZG
Tenerife;TFS
Sharm el Sheikh;SSH
Hurghada;HRG
Cran Canaria;LPA
Zürich;ZRH
Vilnius;VNO
Viin;VIE
Veneetsia;VCE
Varssavi;WAW
Stockholm;ARN
Savonlinna;SVL
Rooma;FCO
Riia;RIX
Pariis;CDG
Paphos;PFO
Oslo;OSL
Napoli;NAP
München;MUC
Milano;BGY
Malta;MLA
Malaga;AGP
London;LGW
Liverpool;LPL
Kärdla;KDL
Kuressaare;URE
Kopenhaagen;CPH
Istanbul;IST
Helsinki;HEL
Frankfurt;FRA
Edinburg;EDI
Düsseldorf-Weeze;NRN
Brüssel;BRU
Billund;BLL
Berliin;SXF
Barcelona;BCN
Amsterdam;AMS
